localminute,H1_grid,H1_dishwasher1,H1_car1,H1_livingroom1,H1_clotheswasher1,H1_office1,H1_lights_plugs1,H1_bathroom1,H2_grid,H2_dishwasher1,H2_kitchenapp2,H2_microwave1,H2_dryg1,H2_furnace1,H2_refrigerator1,H2_disposal1,H3_grid,H3_oven1,H3_refrigerator1,H3_microwave1,H3_venthood1,H3_solar,H3_dryg1
2018-01-01 00:00:00-06:00,2.444,0.859,0.058,0.218,0.004,0.149,0.0,0.002,1.877,0.066,0.007,0.003,0.377,0.722,0.183,0.006,1.373,0.007,0.002,0.003,0.0,-0.004,0.003
2018-01-01 00:01:00-06:00,2.433,0.86,0.058,0.218,0.004,0.149,0.0,0.002,1.681,0.019,0.007,0.003,0.263,0.724,0.148,0.006,1.369,0.007,0.002,0.003,0.0,-0.004,0.003
2018-01-01 00:02:00-06:00,2.371,0.852,0.058,0.218,0.003,0.149,0.0,0.002,1.668,0.013,0.007,0.003,0.261,0.725,0.142,0.006,1.301,0.007,0.007,0.003,0.0,-0.004,0.003
2018-01-01 00:03:00-06:00,2.339,0.868,0.059,0.218,0.004,0.149,0.0,0.002,1.78,0.01,0.007,0.003,0.381,0.727,0.133,0.006,1.287,0.007,0.009,0.003,0.0,-0.004,0.003
2018-01-01 00:04:00-06:00,2.333,0.866,0.059,0.218,0.004,0.149,0.0,0.002,1.687,0.041,0.007,0.003,0.261,0.728,0.13,0.006,1.3,0.007,0.009,0.003,0.0,-0.004,0.003
2018-01-01 00:05:00-06:00,2.368,0.863,0.06,0.218,0.003,0.149,0.0,0.002,1.783,0.068,0.007,0.003,0.33,0.73,0.129,0.006,1.163,0.008,0.035,0.003,0.0,-0.004,0.002
2018-01-01 00:06:00-06:00,2.367,0.865,0.058,0.218,0.004,0.149,0.0,0.002,1.767,0.074,0.007,0.003,0.31,0.73,0.126,0.006,0.876,0.008,0.191,0.003,0.0,-0.005,0.001
2018-01-01 00:07:00-06:00,2.317,0.854,0.058,0.218,0.003,0.149,0.0,0.002,1.713,0.072,0.007,0.003,0.26,0.731,0.123,0.006,0.851,0.008,0.199,0.003,0.0,-0.005,0.001
2018-01-01 00:08:00-06:00,2.292,0.867,0.058,0.218,0.004,0.149,0.0,0.002,1.837,0.081,0.007,0.003,0.374,0.732,0.122,0.006,0.817,0.008,0.176,0.003,0.0,-0.005,0.001
2018-01-01 00:09:00-06:00,2.128,0.863,0.058,0.218,0.004,0.149,0.0,0.002,1.729,0.081,0.007,0.003,0.265,0.732,0.123,0.006,0.806,0.008,0.175,0.003,0.0,-0.005,0.001
2018-01-01 00:10:00-06:00,2.037,0.859,0.058,0.218,0.003,0.149,0.0,0.002,1.684,0.041,0.007,0.003,0.26,0.733,0.123,0.006,0.804,0.008,0.173,0.003,0.0,-0.005,0.001
2018-01-01 00:11:00-06:00,2.045,0.858,0.058,0.218,0.003,0.14,0.0,0.002,1.78,0.017,0.007,0.003,0.378,0.734,0.122,0.006,0.803,0.008,0.172,0.003,0.0,-0.005,0.001
2018-01-01 00:12:00-06:00,2.049,0.848,0.057,0.218,0.003,0.135,0.0,0.002,1.654,0.011,0.007,0.003,0.263,0.734,0.119,0.006,0.801,0.008,0.171,0.003,0.0,-0.005,0.001
2018-01-01 00:13:00-06:00,2.061,0.862,0.057,0.218,0.003,0.135,0.0,0.002,1.654,0.013,0.007,0.003,0.261,0.734,0.119,0.006,0.813,0.008,0.17,0.003,0.0,-0.005,0.001
2018-01-01 00:14:00-06:00,2.078,0.858,0.057,0.218,0.003,0.135,0.0,0.002,3.045,1.279,0.006,0.002,0.377,0.73,0.125,0.0,0.815,0.008,0.169,0.003,0.0,-0.005,0.001
2018-01-01 00:15:00-06:00,2.103,0.855,0.057,0.218,0.003,0.135,0.0,0.002,2.954,1.304,0.006,0.002,0.261,0.731,0.126,0.0,0.882,0.008,0.169,0.003,0.0,-0.005,0.001
2018-01-01 00:16:00-06:00,2.107,0.857,0.057,0.218,0.003,0.135,0.0,0.002,2.952,1.307,0.006,0.002,0.259,0.731,0.123,0.0,1.261,0.007,0.169,0.003,0.0,-0.004,0.003
2018-01-01 00:17:00-06:00,2.09,0.85,0.057,0.218,0.003,0.135,0.0,0.002,3.075,1.313,0.006,0.002,0.38,0.731,0.115,0.0,1.476,0.007,0.169,0.003,0.0,-0.004,0.004
2018-01-01 00:18:00-06:00,2.124,0.866,0.057,0.218,0.003,0.135,0.0,0.002,2.849,1.313,0.006,0.002,0.258,0.732,0.013,0.0,1.485,0.007,0.169,0.003,0.0,-0.004,0.004
2018-01-01 00:19:00-06:00,2.323,0.861,0.057,0.218,0.003,0.135,0.0,0.002,2.908,1.312,0.006,0.002,0.318,0.731,0.012,0.0,1.461,0.007,0.168,0.003,0.0,-0.004,0.004
2018-01-01 00:20:00-06:00,2.316,0.858,0.057,0.218,0.003,0.135,0.0,0.002,2.887,1.292,0.006,0.002,0.319,0.732,0.01,0.0,1.395,0.007,0.168,0.003,0.0,-0.004,0.004
2018-01-01 00:21:00-06:00,2.352,0.856,0.057,0.218,0.003,0.135,0.0,0.002,2.835,1.303,0.006,0.002,0.259,0.732,0.009,0.0,1.395,0.007,0.168,0.003,0.0,-0.004,0.004
2018-01-01 00:22:00-06:00,2.323,0.848,0.057,0.187,0.003,0.135,0.0,0.002,2.961,1.309,0.006,0.002,0.377,0.733,0.009,0.0,1.376,0.007,0.167,0.003,0.0,-0.004,0.004
2018-01-01 00:23:00-06:00,2.384,0.861,0.056,0.173,0.003,0.135,0.0,0.002,2.853,1.314,0.006,0.002,0.263,0.733,0.011,0.0,1.384,0.007,0.167,0.003,0.0,-0.004,0.004
2018-01-01 00:24:00-06:00,2.384,0.857,0.056,0.174,0.004,0.135,0.0,0.002,2.738,1.314,0.006,0.002,0.259,0.62,0.012,0.0,1.111,0.008,0.166,0.003,0.0,-0.004,0.002
2018-01-01 00:25:00-06:00,1.824,0.273,0.057,0.173,0.003,0.134,0.001,0.002,2.77,1.314,0.006,0.002,0.378,0.532,0.01,0.001,0.773,0.008,0.165,0.003,0.0,-0.005,0.001
2018-01-01 00:26:00-06:00,1.635,0.063,0.057,0.173,0.002,0.147,0.001,0.002,2.904,1.289,0.006,0.002,0.262,0.812,0.009,0.0,0.773,0.008,0.165,0.003,0.0,-0.005,0.001
2018-01-01 00:27:00-06:00,1.653,0.053,0.057,0.173,0.002,0.165,0.001,0.001,2.914,1.305,0.006,0.002,0.258,0.806,0.012,0.0,0.769,0.008,0.163,0.003,0.0,-0.005,0.001
2018-01-01 00:28:00-06:00,1.7,0.064,0.057,0.173,0.002,0.164,0.001,0.001,3.069,1.309,0.006,0.002,0.362,0.802,0.062,0.0,0.64,0.008,0.16,0.003,0.0,-0.005,0.001
2018-01-01 00:29:00-06:00,1.606,0.063,0.057,0.173,0.002,0.164,0.001,0.001,2.981,1.312,0.006,0.002,0.277,0.799,0.061,0.0,0.551,0.008,0.159,0.003,0.0,-0.005,0.001
2018-01-01 00:30:00-06:00,1.52,0.063,0.057,0.173,0.002,0.163,0.001,0.001,3.007,1.311,0.006,0.002,0.257,0.797,0.11,0.0,0.653,0.008,0.158,0.003,0.0,-0.005,0.001
2018-01-01 00:31:00-06:00,1.469,0.062,0.057,0.173,0.002,0.163,0.001,0.001,3.04,1.308,0.006,0.002,0.258,0.795,0.148,0.0,0.821,0.007,0.063,0.003,0.0,-0.005,0.002
2018-01-01 00:32:00-06:00,1.35,0.053,0.057,0.173,0.002,0.163,0.001,0.001,3.149,1.29,0.006,0.002,0.381,0.794,0.152,0.0,1.029,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 00:33:00-06:00,1.669,0.513,0.056,0.174,0.003,0.164,0.0,0.002,3.041,1.302,0.006,0.002,0.258,0.793,0.158,0.0,1.003,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 00:34:00-06:00,1.915,0.861,0.056,0.174,0.004,0.157,0.0,0.002,3.043,1.308,0.006,0.002,0.258,0.792,0.153,0.0,0.993,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 00:35:00-06:00,1.989,0.858,0.055,0.174,0.003,0.145,0.0,0.002,3.16,1.31,0.006,0.002,0.379,0.792,0.147,0.0,0.928,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 00:36:00-06:00,2.03,0.858,0.055,0.174,0.003,0.156,0.0,0.002,3.032,1.311,0.006,0.002,0.261,0.791,0.138,0.0,0.766,0.007,0.002,0.003,0.0,-0.005,0.003
2018-01-01 00:37:00-06:00,1.6,0.467,0.056,0.173,0.003,0.153,0.0,0.002,3.018,1.307,0.006,0.002,0.258,0.79,0.133,0.0,0.348,0.008,0.002,0.003,0.0,-0.005,0.001
2018-01-01 00:38:00-06:00,1.147,0.02,0.056,0.173,0.002,0.133,0.001,0.001,3.001,1.291,0.006,0.002,0.258,0.79,0.132,0.0,0.341,0.008,0.002,0.003,0.0,-0.005,0.001
2018-01-01 00:39:00-06:00,1.074,0.014,0.056,0.173,0.002,0.133,0.024,0.025,3.135,1.304,0.006,0.002,0.382,0.79,0.129,0.0,0.288,0.008,0.002,0.003,0.0,-0.005,0.001
2018-01-01 00:40:00-06:00,1.113,0.052,0.056,0.173,0.002,0.136,0.028,0.029,3.012,1.31,0.006,0.002,0.258,0.789,0.127,0.0,0.288,0.008,0.002,0.003,0.0,-0.005,0.001
2018-01-01 00:41:00-06:00,1.127,0.064,0.056,0.133,0.002,0.136,0.009,0.01,3.01,1.312,0.006,0.002,0.258,0.788,0.124,0.0,0.289,0.008,0.002,0.003,0.0,-0.005,0.001
2018-01-01 00:42:00-06:00,1.182,0.063,0.056,0.016,0.002,0.135,0.001,0.001,3.052,1.311,0.006,0.002,0.301,0.788,0.124,0.0,0.288,0.008,0.002,0.003,0.0,-0.005,0.001
2018-01-01 00:43:00-06:00,1.216,0.062,0.056,0.002,0.002,0.135,0.001,0.001,3.089,1.306,0.006,0.002,0.341,0.787,0.125,0.0,0.287,0.008,0.002,0.003,0.0,-0.005,0.001
2018-01-01 00:44:00-06:00,1.179,0.063,0.055,0.002,0.002,0.134,0.001,0.001,2.992,1.294,0.006,0.002,0.258,0.787,0.125,0.0,0.286,0.008,0.002,0.003,0.0,-0.005,0.001
2018-01-01 00:45:00-06:00,1.178,0.063,0.055,0.002,0.002,0.134,0.001,0.001,2.999,1.303,0.006,0.002,0.259,0.787,0.123,0.0,0.334,0.008,0.002,0.003,0.0,-0.005,0.001
2018-01-01 00:46:00-06:00,1.169,0.053,0.056,0.002,0.002,0.134,0.001,0.001,3.002,1.313,0.006,0.002,0.258,0.787,0.121,0.0,0.696,0.007,0.002,0.003,0.0,-0.005,0.003
2018-01-01 00:47:00-06:00,1.177,0.062,0.055,0.002,0.002,0.134,0.001,0.002,3.05,1.23,0.006,0.002,0.383,0.788,0.121,0.0,0.97,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 00:48:00-06:00,1.201,0.061,0.055,0.002,0.002,0.134,0.001,0.001,1.754,0.055,0.007,0.003,0.26,0.792,0.118,0.006,0.965,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 00:49:00-06:00,1.223,0.061,0.055,0.002,0.002,0.133,0.001,0.002,1.705,0.014,0.007,0.003,0.26,0.792,0.118,0.006,0.963,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 00:50:00-06:00,1.227,0.062,0.055,0.002,0.002,0.133,0.001,0.002,1.671,0.006,0.007,0.003,0.26,0.792,0.092,0.006,0.962,0.007,0.003,0.003,0.0,-0.004,0.004
2018-01-01 00:51:00-06:00,1.313,0.062,0.055,0.002,0.002,0.133,0.001,0.001,1.542,0.006,0.007,0.003,0.259,0.721,0.038,0.006,0.971,0.007,0.009,0.003,0.0,-0.004,0.004
2018-01-01 00:52:00-06:00,1.361,0.025,0.055,0.002,0.002,0.133,0.001,0.001,1.658,0.006,0.007,0.003,0.383,0.714,0.036,0.007,0.946,0.007,0.009,0.003,0.0,-0.004,0.004
2018-01-01 00:53:00-06:00,1.305,0.023,0.055,0.002,0.002,0.133,0.001,0.001,1.534,0.006,0.007,0.003,0.259,0.719,0.034,0.006,0.927,0.007,0.009,0.003,0.0,-0.004,0.004
2018-01-01 00:54:00-06:00,1.265,0.035,0.055,0.002,0.002,0.133,0.001,0.001,1.548,0.014,0.007,0.003,0.26,0.723,0.033,0.006,0.91,0.007,0.009,0.003,0.0,-0.004,0.004
2018-01-01 00:55:00-06:00,2.009,0.876,0.054,0.003,0.004,0.134,0.0,0.001,1.554,0.017,0.007,0.003,0.259,0.725,0.034,0.006,1.046,0.006,0.128,0.003,0.0,-0.004,0.004
2018-01-01 00:56:00-06:00,1.875,0.864,0.054,0.003,0.004,0.134,0.0,0.001,1.557,0.016,0.008,0.003,0.259,0.727,0.036,0.006,0.712,0.007,0.183,0.003,0.0,-0.005,0.002
2018-01-01 00:57:00-06:00,1.747,0.86,0.054,0.003,0.004,0.134,0.0,0.001,1.683,0.016,0.007,0.003,0.382,0.728,0.036,0.007,0.49,0.008,0.177,0.003,0.0,-0.005,0.001
2018-01-01 00:58:00-06:00,1.628,0.866,0.054,0.003,0.004,0.134,0.0,0.001,1.556,0.015,0.007,0.003,0.26,0.729,0.034,0.006,0.486,0.008,0.174,0.003,0.0,-0.005,0.001
2018-01-01 00:59:00-06:00,1.612,0.848,0.054,0.003,0.004,0.134,0.0,0.002,1.555,0.015,0.007,0.003,0.259,0.73,0.034,0.006,0.549,0.008,0.173,0.003,0.0,-0.005,0.002
2018-01-01 01:00:00-06:00,0.815,0.016,0.055,0.002,0.002,0.132,0.001,0.001,1.556,0.015,0.007,0.003,0.259,0.73,0.034,0.006,0.922,0.007,0.173,0.003,0.0,-0.004,0.003
2018-01-01 01:01:00-06:00,0.87,0.019,0.054,0.002,0.002,0.132,0.001,0.001,1.601,0.015,0.007,0.003,0.259,0.731,0.078,0.006,1.09,0.006,0.172,0.003,0.0,-0.004,0.004
2018-01-01 01:02:00-06:00,1.06,0.189,0.054,0.002,0.002,0.132,0.001,0.002,1.605,0.015,0.007,0.003,0.259,0.732,0.083,0.006,1.086,0.006,0.171,0.003,0.0,-0.004,0.004
2018-01-01 01:03:00-06:00,1.753,0.874,0.054,0.003,0.004,0.133,0.0,0.002,1.77,0.015,0.007,0.003,0.384,0.733,0.121,0.006,1.082,0.006,0.17,0.003,0.0,-0.004,0.004
2018-01-01 01:04:00-06:00,1.775,0.863,0.054,0.003,0.003,0.133,0.0,0.002,1.69,0.015,0.007,0.003,0.258,0.733,0.169,0.006,1.079,0.006,0.169,0.003,0.0,-0.004,0.004
2018-01-01 01:05:00-06:00,1.88,0.853,0.053,0.003,0.003,0.134,0.0,0.002,1.705,0.015,0.007,0.003,0.259,0.734,0.183,0.006,1.07,0.006,0.169,0.003,0.0,-0.004,0.004
2018-01-01 01:06:00-06:00,1.846,0.869,0.054,0.003,0.003,0.133,0.0,0.002,1.497,0.015,0.007,0.003,0.04,0.733,0.184,0.006,1.09,0.006,0.168,0.003,0.0,-0.004,0.004
2018-01-01 01:07:00-06:00,1.743,0.864,0.052,0.003,0.003,0.133,0.0,0.002,1.46,0.015,0.007,0.003,0.001,0.734,0.184,0.006,0.512,0.008,0.166,0.003,0.0,-0.005,0.001
2018-01-01 01:08:00-06:00,1.732,0.853,0.052,0.003,0.003,0.133,0.0,0.001,1.445,0.015,0.007,0.003,0.0,0.734,0.17,0.006,0.474,0.008,0.166,0.003,0.0,-0.005,0.001
2018-01-01 01:09:00-06:00,1.755,0.868,0.052,0.003,0.003,0.133,0.0,0.001,1.435,0.015,0.007,0.003,0.0,0.735,0.161,0.006,0.474,0.008,0.165,0.003,0.0,-0.005,0.001
2018-01-01 01:10:00-06:00,1.791,0.863,0.052,0.003,0.003,0.133,0.0,0.001,1.433,0.015,0.007,0.003,0.0,0.736,0.157,0.006,0.473,0.008,0.165,0.003,0.0,-0.005,0.001
2018-01-01 01:11:00-06:00,1.775,0.852,0.053,0.002,0.003,0.133,0.0,0.002,1.432,0.015,0.007,0.003,0.0,0.736,0.157,0.006,0.471,0.008,0.163,0.003,0.0,-0.005,0.001
2018-01-01 01:12:00-06:00,1.746,0.868,0.052,0.003,0.003,0.133,0.0,0.001,1.431,0.015,0.007,0.003,0.0,0.736,0.155,0.006,0.469,0.008,0.16,0.003,0.0,-0.005,0.001
2018-01-01 01:13:00-06:00,1.767,0.864,0.052,0.003,0.003,0.133,0.0,0.002,1.43,0.015,0.007,0.003,0.0,0.736,0.152,0.006,0.468,0.008,0.158,0.003,0.0,-0.005,0.001
2018-01-01 01:14:00-06:00,1.823,0.852,0.052,0.003,0.003,0.133,0.0,0.002,1.427,0.015,0.007,0.003,0.0,0.736,0.15,0.006,0.467,0.008,0.158,0.003,0.0,-0.005,0.001
2018-01-01 01:15:00-06:00,1.834,0.866,0.052,0.003,0.003,0.133,0.0,0.001,1.428,0.015,0.007,0.003,0.0,0.736,0.15,0.006,0.516,0.008,0.139,0.003,0.0,-0.005,0.002
2018-01-01 01:16:00-06:00,1.831,0.862,0.052,0.003,0.003,0.132,0.0,0.001,1.429,0.015,0.007,0.003,0.0,0.737,0.152,0.006,0.776,0.007,0.002,0.003,0.0,-0.004,0.003
2018-01-01 01:17:00-06:00,1.815,0.852,0.052,0.003,0.003,0.133,0.0,0.001,1.431,0.015,0.007,0.003,0.0,0.737,0.152,0.006,0.953,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 01:18:00-06:00,1.736,0.867,0.053,0.003,0.003,0.133,0.0,0.001,1.427,0.015,0.007,0.003,0.0,0.737,0.15,0.006,0.986,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 01:19:00-06:00,1.634,0.862,0.052,0.003,0.003,0.133,0.0,0.001,1.424,0.015,0.007,0.003,0.0,0.737,0.148,0.006,0.982,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 01:20:00-06:00,1.525,0.85,0.052,0.003,0.004,0.132,0.0,0.001,1.425,0.015,0.007,0.003,0.0,0.737,0.148,0.006,0.978,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 01:21:00-06:00,1.531,0.861,0.052,0.003,0.004,0.133,0.0,0.001,1.457,0.015,0.007,0.003,0.0,0.738,0.127,0.006,0.976,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 01:22:00-06:00,1.526,0.857,0.052,0.003,0.004,0.133,0.0,0.001,1.52,0.014,0.007,0.003,0.001,0.738,0.121,0.006,0.976,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 01:23:00-06:00,1.515,0.847,0.052,0.003,0.004,0.133,0.0,0.001,1.41,0.011,0.007,0.003,0.001,0.739,0.032,0.006,0.979,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 01:24:00-06:00,1.552,0.857,0.051,0.003,0.004,0.132,0.0,0.001,1.39,0.016,0.007,0.003,0.001,0.739,0.01,0.006,0.963,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 01:25:00-06:00,1.62,0.856,0.052,0.003,0.004,0.132,0.0,0.001,1.39,0.015,0.007,0.003,0.001,0.739,0.009,0.006,0.91,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 01:26:00-06:00,1.516,0.848,0.052,0.003,0.003,0.132,0.0,0.001,1.388,0.015,0.007,0.003,0.001,0.74,0.007,0.006,0.91,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 01:27:00-06:00,1.512,0.857,0.052,0.003,0.003,0.132,0.0,0.001,1.389,0.015,0.007,0.003,0.001,0.74,0.007,0.006,0.898,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 01:28:00-06:00,1.546,0.856,0.052,0.003,0.003,0.132,0.0,0.002,1.39,0.015,0.007,0.003,0.001,0.739,0.009,0.006,0.918,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 01:29:00-06:00,1.725,0.848,0.052,0.003,0.003,0.132,0.0,0.001,1.39,0.015,0.007,0.003,0.001,0.739,0.009,0.006,0.358,0.008,0.002,0.003,0.0,-0.005,0.001
2018-01-01 01:30:00-06:00,1.733,0.857,0.052,0.003,0.003,0.132,0.0,0.001,1.401,0.015,0.007,0.003,0.001,0.751,0.009,0.006,0.34,0.008,0.002,0.003,0.0,-0.005,0.001
2018-01-01 01:31:00-06:00,1.76,0.857,0.052,0.003,0.003,0.134,0.0,0.001,1.03,0.015,0.008,0.003,0.001,0.379,0.007,0.006,0.335,0.008,0.002,0.003,0.0,-0.005,0.001
2018-01-01 01:32:00-06:00,1.687,0.757,0.052,0.002,0.003,0.132,0.0,0.002,1.472,0.015,0.007,0.003,0.001,0.822,0.007,0.006,0.326,0.008,0.002,0.003,0.0,-0.005,0.001
2018-01-01 01:33:00-06:00,0.951,0.017,0.053,0.002,0.002,0.131,0.001,0.001,1.51,0.015,0.007,0.003,0.001,0.815,0.052,0.006,0.333,0.008,0.002,0.003,0.0,-0.005,0.001
2018-01-01 01:34:00-06:00,0.93,0.016,0.053,0.002,0.002,0.131,0.001,0.001,1.514,0.015,0.007,0.003,0.001,0.811,0.059,0.006,0.334,0.008,0.002,0.003,0.0,-0.005,0.001
2018-01-01 01:35:00-06:00,0.913,0.002,0.052,0.002,0.002,0.131,0.001,0.001,1.542,0.015,0.007,0.003,0.001,0.807,0.092,0.006,0.415,0.008,0.002,0.003,0.0,-0.005,0.001
2018-01-01 01:36:00-06:00,0.913,0.001,0.053,0.002,0.002,0.131,0.001,0.001,1.583,0.015,0.007,0.003,0.0,0.805,0.136,0.006,0.939,0.007,0.002,0.003,0.0,-0.004,0.004
2018-01-01 01:37:00-06:00,0.975,0.001,0.053,0.002,0.002,0.131,0.001,0.001,1.598,0.015,0.007,0.003,0.0,0.803,0.152,0.006,0.928,0.007,0.003,0.003,0.0,-0.004,0.004
2018-01-01 01:38:00-06:00,1.02,0.002,0.052,0.002,0.002,0.13,0.001,0.001,1.592,0.015,0.007,0.003,0.0,0.802,0.15,0.006,1.0,0.007,0.009,0.003,0.0,-0.004,0.004
2018-01-01 01:39:00-06:00,1.051,0.002,0.052,0.002,0.002,0.13,0.001,0.001,1.594,0.015,0.007,0.003,0.0,0.801,0.153,0.006,1.025,0.007,0.009,0.003,0.0,-0.004,0.004
2018-01-01 01:40:00-06:00,1.038,0.001,0.052,0.002,0.002,0.131,0.001,0.001,1.581,0.015,0.007,0.003,0.0,0.8,0.141,0.006,1.012,0.007,0.009,0.003,0.0,-0.004,0.004
2018-01-01 01:41:00-06:00,0.925,0.001,0.052,0.002,0.002,0.13,0.001,0.001,1.576,0.015,0.007,0.003,0.0,0.799,0.137,0.006,1.002,0.007,0.009,0.003,0.0,-0.004,0.004
2018-01-01 01:42:00-06:00,0.821,0.001,0.052,0.002,0.002,0.13,0.001,0.001,1.566,0.015,0.007,0.003,0.0,0.798,0.128,0.006,1.03,0.007,0.038,0.003,0.0,-0.004,0.004
2018-01-01 01:43:00-06:00,0.677,0.001,0.052,0.002,0.002,0.13,0.001,0.001,1.565,0.015,0.007,0.003,0.0,0.797,0.127,0.006,1.19,0.006,0.189,0.003,0.0,-0.004,0.004
2018-01-01 01:44:00-06:00,0.591,0.001,0.052,0.002,0.002,0.13,0.001,0.001,1.562,0.015,0.007,0.003,0.0,0.797,0.125,0.006,1.154,0.006,0.181,0.003,0.0,-0.004,0.004
2018-01-01 01:45:00-06:00,0.59,0.001,0.052,0.002,0.002,0.13,0.001,0.001,1.559,0.015,0.007,0.003,0.0,0.797,0.122,0.006,1.102,0.006,0.177,0.003,0.0,-0.004,0.004
2018-01-01 01:46:00-06:00,0.627,0.001,0.052,0.002,0.002,0.13,0.001,0.001,1.555,0.015,0.007,0.003,0.0,0.796,0.12,0.006,1.035,0.007,0.175,0.003,0.0,-0.004,0.004
2018-01-01 01:47:00-06:00,0.638,0.001,0.052,0.002,0.002,0.13,0.001,0.001,1.552,0.015,0.007,0.003,0.0,0.795,0.119,0.006,0.516,0.008,0.172,0.003,0.0,-0.005,0.001
2018-01-01 01:48:00-06:00,0.666,0.001,0.052,0.002,0.002,0.13,0.001,0.001,1.554,0.015,0.007,0.003,0.0,0.795,0.121,0.006,0.517,0.008,0.17,0.003,0.0,-0.005,0.001
2018-01-01 01:49:00-06:00,0.76,0.001,0.052,0.002,0.002,0.13,0.001,0.001,1.553,0.015,0.007,0.003,0.0,0.795,0.12,0.006,0.605,0.008,0.169,0.003,0.0,-0.005,0.002
2018-01-01 01:50:00-06:00,0.77,0.001,0.052,0.002,0.002,0.13,0.001,0.001,1.552,0.015,0.007,0.003,0.0,0.794,0.119,0.006,1.117,0.006,0.17,0.003,0.0,-0.004,0.004
2018-01-01 01:51:00-06:00,0.804,0.001,0.052,0.002,0.002,0.129,0.001,0.001,1.549,0.015,0.007,0.003,0.001,0.794,0.117,0.006,1.112,0.006,0.169,0.003,0.0,-0.004,0.004
2018-01-01 01:52:00-06:00,0.84,0.001,0.052,0.002,0.002,0.129,0.001,0.001,1.548,0.015,0.007,0.003,0.0,0.793,0.116,0.006,1.111,0.006,0.169,0.003,0.0,-0.004,0.004
2018-01-01 01:53:00-06:00,1.033,0.001,0.052,0.002,0.002,0.129,0.001,0.001,1.543,0.009,0.007,0.003,0.001,0.793,0.118,0.006,1.109,0.006,0.168,0.003,0.0,-0.004,0.004
2018-01-01 01:54:00-06:00,1.032,0.001,0.051,0.002,0.002,0.13,0.001,0.001,1.453,0.005,0.007,0.003,0.001,0.709,0.118,0.006,1.087,0.006,0.168,0.003,0.0,-0.004,0.004
2018-01-01 01:55:00-06:00,0.95,0.001,0.052,0.002,0.002,0.13,0.001,0.001,1.438,0.005,0.007,0.003,0.001,0.716,0.096,0.006,1.067,0.006,0.167,0.003,0.0,-0.004,0.004
2018-01-01 01:56:00-06:00,0.91,0.002,0.052,0.002,0.002,0.13,0.001,0.001,1.385,0.005,0.007,0.003,0.001,0.721,0.038,0.006,1.084,0.006,0.166,0.003,0.0,-0.004,0.004
2018-01-01 01:57:00-06:00,0.91,0.001,0.052,0.002,0.002,0.129,0.001,0.001,1.387,0.005,0.007,0.003,0.001,0.724,0.036,0.006,0.508,0.008,0.165,0.003,0.0,-0.005,0.001
2018-01-01 01:58:00-06:00,0.91,0.001,0.052,0.002,0.002,0.129,0.001,0.001,1.386,0.005,0.007,0.003,0.001,0.727,0.034,0.006,0.467,0.008,0.163,0.003,0.0,-0.005,0.001
